"Query,Intent"
"show me all the cities that midwest express serves,Non-Banking"
"How long will it take to receive my money from my transfer transaction?,Banking"
"Is it simple to transfer money using my credit card?,Banking"
"Why is the exchange rate different from what I expected?,Banking"
"ATM apparently not working? Couldn't access funds in my account?,Banking"
"I did not set up a direct debit I have,Banking"
"Stop speaking responses. Open the landing page for Business Analytics and Data Science.,Non-Banking"
"in denver what kind of ground transportation is there from the airport to downtown,Non-Banking"
"What should I do if the atm eats my card?,Banking"
"Can I customize a course for personal development based on my interests?,Non-Banking"
"show me flights to san francisco from philadelphia stopping in dallas,Non-Banking"
"I need a refund on a direct debit that shows in the app because I did not make it.,Banking"
"My credit card got declined for top up! What's going on? Can you check on why it didn't go through?,Banking"
"There is a pending payment on my account, what does this mean?,Banking"
"Why is my refund not showing up on the statement?,Banking"
"How can I cancel my transfer?,Banking"
"Display the landing page for Financial Markets and Investments.,Non-Banking"
"Are there any policies supporting educational access for LGBTQ+ students?,Non-Banking"
"show me the flights from los angeles to pittsburgh which arrive at pittsburgh on monday,Non-Banking"
"Turn off text and use voice.,Non-Banking"
"Where can I located the auto-top up option?,Banking"
"list all flights from boston to oakland,Non-Banking"
"Can I use app to reset PIN attempts?,Banking"
"what are the flights from boston to baltimore,Non-Banking"
"Where did my deposit for my source of funds come from?,Banking"
"is there a way to fix my top up,Banking"
"I tried using my card, but it doesn't work.,Banking"
"delta flights to dallas please,Non-Banking"
"Hi, Please help me to request cash back. As i have been withdrawn money from ATM, but i got wrong amount. in Application its showing the amount i have been charged through.,Banking"
"How do I link an existing card?,Banking"
"I misplaced my bank card after donating blood—can I block it now?,Banking"
"where does flight ua 281 from boston to oakland stop,Non-Banking"
"is there a flight on delta airlines from boston to denver,Non-Banking"
"what flights are there tuesday morning from dallas to atlanta,Non-Banking"
"Switch to vocal replies. How do I update my profile picture?,Non-Banking"
"How can I exchange to EUR?,Banking"
"is there a flight from baltimore to san francisco with a stop in denver on twa,Non-Banking"
"i am interested in a flight on american airlines from dallas to washington,Non-Banking"
"i would like a flight from washington to boston on august twentieth at 324 pm,Non-Banking"
"tell me the flights from dallas to baltimore,Non-Banking"
"Is there a way to reset the passcode?,Banking"
"flight from dallas to milwaukee,Non-Banking"
"Respond to me by typing. Are there any fellowship programs supporting educational leadership development?,Non-Banking"
"How do I withdraw money?,Banking"
"please list the flights from toronto to washington dc,Non-Banking"
"What ATMs accept my card?,Banking"
"i need to reverse the flight from pittsburgh to denver please,Non-Banking"
"What locations allow me to withdraw money?,Banking"
"I made a purchase but the exchange rate is wrong?,Banking"
"How do i find my top-up card's verification code?,Banking"
"Can you recommend a good travel agency?,Non-Banking"
"What's the best way to clean windows?,Non-Banking"
"Money is not in recipients account.,Banking"
"i want to go and take a plane in atlanta and fly to boston,Non-Banking"
"what flights are there on continental from seattle to chicago,Non-Banking"
"show me all flights from baltimore or denver or pittsburgh that fly to philadelphia,Non-Banking"
"I have a cash withdrawal that I don't recognize.,Banking"
"very well i'm working on scenario three i'm interested in a flight on a 727 from washington dc to atlanta georgia,Non-Banking"
"My app says I withdraw money from my account from an ATM.,Banking"
"I want text communication.,Non-Banking"
"what are the flights from tacoma to san jose also on tuesday the eighteenth of may,Non-Banking"
"also show me flights from san francisco to pittsburgh on tuesday,Non-Banking"
"Switch on sound replies.,Non-Banking"
"there is a charge i dont recognize,Banking"
"When will my transfer be in my account?,Banking"
"what is the cheapest fare one way between pittsburgh and denver,Non-Banking"
"My salary was deposited late by the employer’s bank operating from Solar Bank Complex.,Banking"
"i tried using a virtual card for a hotel but it didn't work, why not,Banking"
"I think my top up was reversed.,Banking"
"Use text instead of voice replies. Could you describe the skills covered in the Computer Science Computer Graphics course?,Non-Banking"
"My dog slipped while running along the river bank trail.,Non-Banking"
"My statement shows charges for things I never purchased. Were my account details stolen?,Banking"
"What currencies are accepted to add money?,Banking"
"Tell me why my transfer is pending.,Banking"
"My card payment wasn't declined,Banking"
"Why can't my transfer complete?,Banking"
"Take me to the page for Small Business Management.,Non-Banking"
"I want to use my American Express for adding money into my account.,Banking"
"i would like a ticket leaving from denver colorado to atlanta georgia with a stop in pittsburgh,Non-Banking"
"Use your voice for responses.,Non-Banking"
"what is the cheapest flight from denver to oakland,Non-Banking"
"Is there a fee when I get cash from an ATM? Is there a limit I can take out? If there is a fee, what is it?,Banking"
"how come my withdrawal rate is wrong for my cash withdrawal,Banking"
"The ATM took my card.,Banking"
"My latest payment was declined! What happened! I was told everything had been resolved and was back to working order again.,Banking"
"Display the course overview for Web Development Basics.,Non-Banking"
"I would like to get both a Visa and MasterCard?,Banking"
"I want to transfer money. How do I do that for my account?,Banking"
"how many people fit on a 72s airplane,Non-Banking"
"i want to fly from boston to denver with a stop in philadelphia,Non-Banking"
"what are the cheapest fares for flights from newark to la leaving wednesday after 3 pm,Non-Banking"
"List the tasks you can perform.,Non-Banking"
"Can you please explain why my transfer failed?,Banking"
"can you give me information on all the flights from san francisco no from pittsburgh to san francisco on monday,Non-Banking"
"I am paid by my employer in GBP; do I need to do anything in the app to indicate this?,Banking"
"Are there any policies supporting educational opportunities for refugee children?,Non-Banking"
"Are you an AI assistant?,Non-Banking"
"I don't see my refund money yet in my account. I asked the merchant a while ago for a refund, so I don't know what's taking so long. Can you look into it and see if the money is there, just not in my account yet?,Banking"
"Why isn't my balance reflecting a transfer I did?,Banking"
"show me the flights from philadelphia to boston,Non-Banking"
"list the cheapest round trip flights from orlando to kansas city,Non-Banking"
"How do I cook a turkey?,Non-Banking"
"How do I top up using my Apple Watch?,Banking"
"What's the best way to learn how to swim?,Non-Banking"
